step,avg_reward,loss,avg_distance,avg_dt,in_bounds_percent
46848,0.6141,62.0767,21.8760,0.0113,91.8
47104,0.6138,82.6935,22.2977,0.0113,92.6
47360,0.5422,51.2857,17.9485,0.0115,81.2
47616,0.7067,81.0285,20.5810,0.0113,96.1
47872,0.6074,58.0303,18.4567,0.0112,87.1
48128,0.6425,91.6336,23.2839,0.0115,96.1
48384,0.7061,79.5614,21.0291,0.0111,96.5
48640,0.3029,52.9364,19.7578,0.0113,66.4
48896,0.6692,70.2878,20.7169,0.0114,94.1
49152,0.5636,60.9319,18.3598,0.0117,83.6
49408,0.6981,70.7448,20.7566,0.0114,96.5
49664,0.5491,45.6331,19.3386,0.0115,83.6
49920,0.5969,57.1259,20.4296,0.0114,87.9
50176,0.4342,64.9792,21.6219,0.0116,77.7
50432,0.6482,71.7876,19.9216,0.0113,91.0
50688,0.3588,56.3933,23.7801,0.0115,75.8
50944,0.4345,62.5603,21.4611,0.0116,78.1
51200,0.7324,85.5164,20.1973,0.0115,97.3
51456,0.7306,84.8694,18.6414,0.0115,95.7
